"fips","ur.code","division","tot.pop","latino","white","black","amind","api","d.black","d.api","d.white","d.latino","d.mid","d.amind","d.na","d.total"
1133,"6: noncore","East South Central",24130,667,22754,122,182,59,0,0,0,0,0,0,0,0
2013,"6: noncore","Pacific",3304,398,495,304,979,1046,0,0,0,0,0,0,0,0
2016,"6: noncore","Pacific",5684,623,1578,269,738,2253,0,0,0,0,0,0,0,0
2020,"3: medium metro","Pacific",299107,25690,180457,17511,19745,32759,0,0,5,1,0,1,3,10
2050,"6: noncore","Pacific",17776,325,2016,142,14415,280,0,0,0,0,0,0,0,0
2060,"6: noncore","Pacific",970,69,518,5,284,9,0,0,0,0,0,0,0,0
2068,"6: noncore","Pacific",2060,54,1745,13,73,59,0,0,0,0,0,0,0,0
2070,"6: noncore","Pacific",4979,144,881,17,3619,73,0,0,0,0,0,0,0,0
2090,"4: small metro","Pacific",99705,7356,71649,4340,6288,3254,0,0,1,0,0,3,0,4
2100,"6: noncore","Pacific",2560,39,2037,1,164,77,0,0,0,0,0,0,0,0
2105,"6: noncore","Pacific",2128,47,1049,47,708,57,0,0,0,0,0,0,0,0
2110,"5: micropolitan","Pacific",32531,1985,21476,413,4017,2570,0,0,0,0,0,0,0,0
2122,"6: noncore","Pacific",57221,2124,46738,363,4355,772,0,0,2,0,0,0,0,2
2130,"5: micropolitan","Pacific",13699,663,8903,58,1960,1008,0,0,0,0,0,0,0,0
2150,"6: noncore","Pacific",13973,1186,7186,66,1956,3129,0,0,0,0,0,0,0,0
2164,"6: noncore","Pacific",1474,32,310,8,1012,57,0,0,0,0,0,0,0,0
2170,"3: medium metro","Pacific",96178,4292,77677,959,5072,1633,2,0,4,0,0,2,1,9
2180,"6: noncore","Pacific",9854,193,1630,72,6913,138,0,0,0,0,0,0,0,0
2185,"6: noncore","Pacific",9667,350,3112,64,4645,1052,0,0,0,0,0,1,0,1
2188,"6: noncore","Pacific",7732,142,916,25,6343,61,0,0,0,0,0,0,0,0
2195,"6: noncore","Pacific",3221,304,2209,97,194,88,0,0,0,0,0,0,0,0
2198,"6: noncore","Pacific",6376,205,2930,12,2672,65,0,0,0,0,0,0,0,0
2220,"6: noncore","Pacific",8943,540,5606,97,1317,556,0,0,0,0,0,0,0,0
2230,"6: noncore","Pacific",999,45,752,0,61,106,0,0,0,0,0,0,0,0
2240,"6: noncore","Pacific",7029,336,5389,80,742,134,0,0,0,0,0,0,0,0
2261,"6: noncore","Pacific",9617,425,6742,0,1501,350,0,0,0,0,0,0,0,0
2275,"6: noncore","Pacific",2387,34,1635,5,414,60,0,0,0,0,0,0,0,0
2282,"6: noncore","Pacific",643,17,253,9,213,51,0,0,0,0,0,0,0,0
2290,"6: noncore","Pacific",5644,109,1228,17,3948,26,0,0,0,0,0,0,0,0
4001,"6: noncore","Mountain",72124,4547,13906,442,52154,383,0,0,2,0,0,2,0,4
4003,"4: small metro","Mountain",129647,43960,73548,5023,1519,2381,0,0,1,4,0,0,0,5
4005,"4: small metro","Mountain",136701,18916,74746,2137,36791,2440,0,3,1,0,0,2,2,8
4007,"5: micropolitan","Mountain",53165,9869,33852,384,8029,331,0,0,2,0,0,0,0,2
4009,"5: micropolitan","Mountain",37407,11882,19337,782,5048,305,0,0,0,0,0,0,0,0
4011,"6: noncore","Mountain",9023,4242,4262,139,315,40,0,0,1,0,0,0,0,1
4012,"6: noncore","Mountain",20335,5180,12179,40,2805,223,0,0,2,0,0,1,0,3
4013,"1: large central metro","Mountain",4018143,1209034,2303538,209789,76621,160310,13,0,63,42,0,3,22,143
4015,"4: small metro","Mountain",203362,31809,159067,2292,4169,2844,0,0,12,0,0,0,0,12
4017,"5: micropolitan","Mountain",107656,11905,45842,721,47216,730,0,0,1,0,0,1,1,3
4019,"3: medium metro","Mountain",998537,356589,535965,36123,32656,28952,2,0,11,21,0,0,6,40
4021,"2: large fringe metro","Mountain",389772,113394,226031,17954,20684,8180,1,0,6,5,1,0,1,14
4023,"5: micropolitan","Mountain",47073,38965,7359,165,106,493,0,0,0,1,0,0,0,1
4025,"4: small metro","Mountain",215996,30382,175206,1285,3995,1969,0,0,8,0,0,0,0,8
4027,"4: small metro","Mountain",202987,124037,68015,4300,2613,2980,0,0,1,2,0,0,1,4
5001,"6: noncore","West South Central",18731,546,13172,4811,18,94,0,0,0,0,0,0,0,0
5003,"6: noncore","West South Central",21229,1078,14412,5517,64,12,0,0,0,0,0,0,0,0
5005,"5: micropolitan","West South Central",41040,798,39130,135,238,207,0,0,0,0,0,0,0,0
5007,"3: medium metro","West South Central",238198,38068,178691,3551,3397,9113,0,0,1,0,0,0,0,1
5009,"5: micropolitan","West South Central",37227,836,35167,132,272,184,0,0,2,0,0,0,0,2
5011,"6: noncore","West South Central",11206,1564,6383,3245,84,0,0,0,0,0,0,0,0,0
5013,"5: micropolitan","West South Central",5245,182,3828,1163,3,11,0,0,0,0,0,0,0,0
5015,"6: noncore","West South Central",27635,3950,22558,156,179,444,0,0,0,0,0,0,0,0
5017,"6: noncore","West South Central",11353,604,4487,6121,44,31,0,0,0,0,0,0,0,0
5019,"5: micropolitan","West South Central",22751,984,15839,5441,39,190,0,0,0,0,0,0,0,0
5021,"6: noncore","West South Central",15400,268,14787,56,51,14,0,0,1,0,0,0,0,1
5023,"6: noncore","West South Central",25711,613,24446,133,136,72,0,0,0,0,0,0,0,0
5025,"4: small metro","West South Central",8510,169,7231,935,18,9,0,0,0,0,0,0,0,0
5027,"5: micropolitan","West South Central",24327,654,14391,8659,85,171,0,0,0,0,0,0,0,0
5029,"6: noncore","West South Central",21110,818,17270,2541,153,11,0,0,0,0,0,0,0,0
5031,"4: small metro","West South Central",101409,4753,79398,13860,773,1398,0,0,1,0,0,0,2,3
5033,"3: medium metro","West South Central",61748,4073,53037,699,1026,1021,0,0,0,0,0,0,0,0
5035,"2: large fringe metro","West South Central",49765,1120,22077,25306,94,394,1,0,0,1,0,0,0,2
5037,"6: noncore","West South Central",17467,302,12850,4022,47,108,0,0,0,0,0,0,0,0
5039,"6: noncore","West South Central",7868,219,4228,3243,3,177,0,0,0,0,0,0,0,0
5041,"6: noncore","West South Central",12379,575,5740,5949,0,7,0,0,0,0,0,0,0,0
5043,"6: noncore","West South Central",18740,540,12539,5395,14,50,0,0,0,0,0,0,1,1
5045,"3: medium metro","West South Central",119343,4792,97161,13488,454,1537,0,0,0,0,0,0,0,0
5047,"6: noncore","West South Central",17866,486,16583,163,367,52,0,0,2,0,0,0,0,2
5049,"6: noncore","West South Central",12224,141,11722,15,51,184,0,0,0,0,0,0,0,0
5051,"4: small metro","West South Central",96954,5022,80514,8095,572,621,1,0,6,0,0,0,0,7
5053,"3: medium metro","West South Central",18054,221,16802,686,61,102,1,0,0,0,0,0,0,1
5055,"5: micropolitan","West South Central",43382,1122,41008,398,95,78,0,0,1,0,0,0,0,1
5057,"6: noncore","West South Central",22336,2788,12451,6660,37,6,0,0,0,0,0,0,0,0
5059,"5: micropolitan","West South Central",33316,1047,27644,3883,189,50,3,0,1,0,0,0,0,4
5061,"6: noncore","West South Central",13555,1433,8958,2955,126,3,0,0,0,0,0,0,0,0
5063,"5: micropolitan","West South Central",36952,2213,32989,759,164,328,0,0,0,1,0,0,0,1
5065,"6: noncore","West South Central",13480,242,12912,162,28,65,0,0,1,0,0,0,0,1
5067,"6: noncore","West South Central",17597,494,13652,3051,88,38,0,0,0,0,0,0,0,0
5069,"4: small metro","West South Central",73548,1375,29808,40881,82,720,2,0,0,0,0,0,0,2
5071,"6: noncore","West South Central",25930,3470,21131,497,132,306,0,0,0,0,0,0,0,0
5073,"6: noncore","West South Central",7270,90,4339,2777,0,18,0,0,0,0,0,0,1,1
5075,"6: noncore","West South Central",17029,203,16370,153,48,13,0,0,1,0,0,0,0,1
5077,"6: noncore","West South Central",9966,225,4091,5622,14,4,0,0,0,0,0,0,0,0
5079,"4: small metro","West South Central",14062,494,9141,4369,46,0,0,0,0,0,0,0,0,0
