age,gender,race,city,state,county,year,fips
21,Male,African-American/Black,Detroit,MI,wayne,2014,26163
21,Male,Hispanic/Latino,Fresno,CA,fresno,2014,6019
21,Female,African-American/Black,Lorman,MS,jefferson,2014,28063
21,Male,Hispanic/Latino,Chicago,IL,cook,2014,17031
21,Male,Hispanic/Latino,Miami,FL,miami-dade,2014,12086
21,Male,European-American/White,Houston,TX,harris,2014,48201
21,Male,European-American/White,Tacoma,WA,pierce,2014,53053
21,Male,Asian/Pacific Islander,Delray Beach,FL,palm beach,2014,12099
21,Male,African-American/Black,Plano,TX,collin,2014,48085
21,Male,Hispanic/Latino,Pharr,TX,hidalgo,2014,48215
21,Male,African-American/Black,Muskogee,OK,muskogee,2015,40101
21,Male,Hispanic/Latino,Sugarland,TX,fort bend,2015,48157
21,Female,European-American/White,Conroe,TX,montgomery,2015,48339
21,Male,Hispanic/Latino,San Francisco,CA,san francisco,2015,6075
21,Male,European-American/White,Cottonwood,AZ,yavapai,2015,4025
21,Male,African-American/Black,Islip,NY,suffolk,2015,36103
21,Male,Hispanic/Latino,Baytown,TX,harris,2015,48201
21,Male,Hispanic/Latino,Corning,CA,tehama,2015,6103
21,Male,African-American/Black,Cerritos,CA,los angeles,2015,6037
21,Male,European-American/White,Covington,LA,st. tammany,2015,22103
21,Female,European-American/White,Springfield,OH,clark,2015,39023
21,Male,African-American/Black,Vance,AL,bibb,2015,1007
21,Male,African-American/Black,Cincinnati,OH,hamilton,2015,39061
21,Male,African-American/Black,D'Iberville,MS,harrison,2015,28047
21,Male,African-American/Black,Hidalgo,TX,hidalgo,2015,48215
21,Male,European-American/White,Brick,NJ,ocean,2015,34029
21,Male,Hispanic/Latino,Gardena,CA,los angeles,2015,6037
21,Male,African-American/Black,Durham,NC,durham,2015,37063
21,Male,African-American/Black,Chalmette,LA,st. bernard,2015,22087
21,Male,European-American/White,Paris,TX,lamar,2015,48277
21,Male,European-American/White,Akron,OH,summit,2015,39153
21,Male,European-American/White,Cedar Rapids,IA,linn,2015,19113
21,Male,Hispanic/Latino,Visalia,CA,tulare,2015,6107
21,Female,African-American/Black,Washington,DC,the district,2015,11001
21,Male,African-American/Black,Long Beach,CA,los angeles,2015,6037
21,Female,African-American/Black,Oklahoma City,OK,oklahoma,2015,40109
21,Male,African-American/Black,Cayce,SC,lexington,2015,45063
21,Male,Hispanic/Latino,San Jose,CA,santa clara,2015,6085
21,Male,African-American/Black,Pittsburg,PA,allegheny,2015,42003
21,Male,Hispanic/Latino,Garden Grove,CA,orange,2015,6059
21,Male,European-American/White,Denton,TX,denton,2015,48121
21,Male,European-American/White,Waymart,PA,wayne,2015,42127
21,Male,African-American/Black,Dayton,OH,montgomery,2016,39113
21,Male,African-American/Black,East Troy,WI,walworth,2016,55127
21,Male,European-American/White,Houston,TX,harris,2016,48201
21,Male,African-American/Black,Park Forest,IL,cook,2016,17031
21,Male,Hispanic/Latino,Houston,TX,harris,2016,48201
21,Male,African-American/Black,Richmond,TX,fort bend,2016,48157
21,Male,European-American/White,Seattle,WA,king,2016,53033
21,Male,African-American/Black,Fort Pierce,FL,st. lucie,2016,12111
21,Male,African-American/Black,Long Beach,CA,los angeles,2016,6037
21,Male,African-American/Black,Houston,TX,harris,2016,48201
21,Male,African-American/Black,Newnan,GA,coweta,2016,13077
21,Male,Hispanic/Latino,Turlock,CA,stanislaus,2016,6099
21,Male,Hispanic/Latino,Albuquerque,NM,bernalillo,2016,35001
21,Male,European-American/White,Brooklyn,NY,kings,2016,36047
21,Male,European-American/White,Fort Dodge,IA,webster,2016,19187
21,Male,European-American/White,Denver,CO,denver,2016,8031
21,Male,African-American/Black,Middle River,MD,baltimore,2016,24005
21,Male,Hispanic/Latino,Federal Way,WA,king,2016,53033
21,Male,European-American/White,Sterrett,AL,shelby,2016,1117
21,Male,African-American/Black,Stockton,CA,san joaquin,2016,6077
21,Male,Hispanic/Latino,Oklahoma City,OK,oklahoma,2016,40109
21,Male,African-American/Black,Brooklyn,NY,kings,2016,36047
21,Female,European-American/White,North Versailles,PA,allegheny,2016,42003
21,Male,European-American/White,Scipio,UT,millard,2016,49027
21,Male,African-American/Black,Miami,FL,miami-dade,2016,12086
21,Male,African-American/Black,Allen,TX,collin,2017,48085
21,Male,African-American/Black,Bridgeton,NJ,cumberland,2017,34011
21,Female,African-American/Black,Commerce,GA,jackson,2017,13157
21,Female,Hispanic/Latino,Dallas,TX,dallas,2017,48113
21,Male,Hispanic/Latino,Vallejo,CA,solano,2017,6095
21,Male,African-American/Black,Gardena,CA,los angeles,2017,6037
21,Female,European-American/White,Kentwood,MI,kent,2017,26081
21,Female,European-American/White,Tulsa,OK,tulsa,2017,40143
21,Female,African-American/Black,Vero Beach,FL,indian river,2017,12061
21,Male,European-American/White,Norman,OK,cleveland,2017,40027
21,Male,African-American/Black,Wilmington,DE,new castle,2017,10003
21,Male,Race unspecified,Kansas City,MO,NA,2015,29095
21,Male,European-American/White,O'Fallon,MO,NA,2014,29183
21,Male,African-American/Black,Saint Louis,MO,NA,2017,29510
21,Male,Race unspecified,Washington Park,IL,NA,2016,17163
21,Male,Race unspecified,Statesboro,GA,NA,2016,13031
21,Male,European-American/White,Westminster,CO,NA,2016,8001
21,Male,Race unspecified,Fresno,CA,NA,2014,6019
21,Male,Race unspecified,Long Beach,CA,NA,2016,6037
21,Male,Hispanic/Latino,Sacramento,CA,NA,2013,6067
21,Male,European-American/White,Ventura,CA,NA,2013,6111
21,Male,European-American/White,Albuquerque,NM,NA,2013,35001
21,Male,Race unspecified,Albuquerque,NM,NA,2016,35001
21,Male,Race unspecified,Killeen,TX,NA,2016,48027
21,Male,Hispanic/Latino,Van Horn,TX,NA,2016,48109
21,Male,European-American/White,Denison,TX,NA,2017,48181
21,Male,Race unspecified,Houston,TX,NA,2015,48201
21,Female,Asian/Pacific Islander,Houston,TX,NA,2014,48201
21,Male,Asian/Pacific Islander,Rockville,MD,NA,2014,24031
21,Male,Race unspecified,Lakeland,FL,NA,2013,12105
21,Male,Race unspecified,Philadelphia,PA,NA,2013,42101
21,Male,Race unspecified,Kansas City,KS,NA,2015,20209
21,Male,Race unspecified,Oklahoma City,OK,NA,2014,40109
21,Female,Race unspecified,Avon,MA,NA,2015,25021
21,Male,Race unspecified,Avon,MA,NA,2015,25021
21,Male,African-American/Black,Washington,DC,NA,2016,11001
22,Male,African-American/Black,North Augusta,SC,aiken,2013,45003
22,Male,European-American/White,Honolulu,HI,honolulu,2013,15003
22,Male,African-American/Black,3524 N. Kingshighway Blvd.,MI,gratiot,2013,26057
22,Male,African-American/Black,Fayetteville,NC,cumberland,2013,37051
22,Male,European-American/White,Fernley,NV,lyon,2013,32019
22,Male,Hispanic/Latino,Houston,TX,harris,2013,48201
22,Male,Hispanic/Latino,Visalia,CA,tulare,2013,6107
22,Male,Hispanic/Latino,Fort Worth,TX,tarrant,2013,48439
22,Male,European-American/White,Holladay,TN,benton,2013,47005
22,Male,African-American/Black,Concord,NC,cabarrus,2013,37025
22,Male,European-American/White,Pisgah,AL,jackson,2013,1071
22,Male,African-American/Black,Solon,OH,cuyahoga,2013,39035
22,Male,African-American/Black,Genesee Township,MI,genesee,2013,26049
22,Male,European-American/White,Phoenix,AZ,maricopa,2013,4013
22,Male,African-American/Black,West Palm Beach,FL,palm beach,2013,12099
22,Male,African-American/Black,Fort Wayne,IN,allen,2013,18003
22,Male,African-American/Black,Minneapolis,MN,hennepin,2013,27053
22,Male,Hispanic/Latino,Tucson,AZ,pima,2013,4019
22,Male,European-American/White,Shelbyville,TN,bedford,2013,47003
22,Male,European-American/White,Clifton,TX,bosque,2013,48035
22,Male,African-American/Black,Norfolk,VA,norfolk city,2013,51710
22,Male,African-American/Black,Alexandria,VA,alexandria city,2013,51510
22,Male,African-American/Black,Oakland,CA,alameda,2013,6001
22,Male,African-American/Black,Philadelphia,PA,philadelphia,2013,42101
22,Female,African-American/Black,Oak Park,MI,oakland,2013,26125
22,Male,African-American/Black,Compton,CA,los angeles,2013,6037
22,Male,African-American/Black,Greenville,SC,greenville,2013,45045
22,Male,African-American/Black,Chester,SC,chester,2013,45023
22,Male,Hispanic/Latino,Santa Ana,CA,orange,2013,6059
22,Male,European-American/White,Tacoma,WA,pierce,2013,53053
22,Male,African-American/Black,Indianapolis,IN,marion,2013,18097
22,Male,African-American/Black,Charleston,SC,charleston,2013,45019
22,Male,European-American/White,Cortez,CO,montezuma,2013,8083
22,Male,African-American/Black,Durham,NC,durham,2013,37063
22,Male,European-American/White,Port Orange,FL,volusia,2013,12127
22,Male,Hispanic/Latino,North Brunswick,NJ,middlesex,2013,34023
22,Male,European-American/White,Sioux Falls,SD,minnehaha,2013,46099
22,Male,Hispanic/Latino,Wishram,WA,klickitat,2013,53039
22,Male,Hispanic/Latino,Wishram,WA,klickitat,2013,53039
22,Male,African-American/Black,Eupora,MS,webster,2013,28155
22,Male,Hispanic/Latino,Española,NM,rio arriba,2013,35039
22,Male,African-American/Black,Houston,TX,harris,2013,48201
22,Male,Hispanic/Latino,Fullerton,CA,orange,2013,6059
22,Male,Hispanic/Latino,Dallas,TX,dallas,2013,48113
22,Male,African-American/Black,Newark,NJ,essex,2013,34013
22,Male,European-American/White,El Cajon,CA,san diego,2013,6073
22,Male,European-American/White,Whitehall,MT,jefferson,2013,30043
22,Male,European-American/White,Lufkin,TX,angelina,2013,48005
22,Male,European-American/White,Kansas City,KS,wyandotte,2013,20209
22,Male,African-American/Black,Brooklyn,NY,kings,2013,36047
22,Male,European-American/White,Baton Rouge,LA,e. baton rouge,2013,22033
22,Male,European-American/White,Kyle,TX,hays,2013,48209
22,Female,European-American/White,Westport,IN,decatur,2013,18031
22,Male,African-American/Black,Columbus,OH,franklin,2013,39049
22,Male,African-American/Black,Hialeah Gardens,FL,miami-dade,2013,12086
22,Male,European-American/White,Lititz,PA,lancaster,2013,42071
22,Male,African-American/Black,Oklahoma City,OK,cleveland,2013,40027
22,Male,European-American/White,Elkhart,IN,elkhart,2014,18039
22,Male,Hispanic/Latino,Bradenton,FL,manatee,2014,12081
22,Male,European-American/White,Lancaster,TN,smith,2014,47159
22,Male,African-American/Black,Baltimore,MD,baltimore,2014,24005
22,Female,Hispanic/Latino,Fair Oaks,CA,sacramento,2014,6067
22,Male,African-American/Black,New Iberia,LA,iberia,2014,22045
22,Male,Hispanic/Latino,Houston,TX,harris,2014,48201
22,Male,African-American/Black,Lawrenceville,GA,gwinnett,2014,13135
22,Female,European-American/White,Greensboro,NC,guilford,2014,37081
22,Female,European-American/White,Dubuque,IA,dubuque,2014,19061
22,Male,Hispanic/Latino,East Hartford,CT,hartford,2014,9003
22,Male,African-American/Black,Fayetteville,NC,cumberland,2014,37051
22,Male,Hispanic/Latino,Wichita Falls,TX,wichita,2014,48485
22,Male,European-American/White,Tulsa,OK,tulsa,2014,40143
22,Male,European-American/White,Newport Beach,CA,orange,2014,6059
22,Male,African-American/Black,Cowley County,KS,cowley,2014,20035
22,Male,European-American/White,Piedmont,SC,greenville,2014,45045
22,Female,European-American/White,Elizabethtown,KY,hardin,2014,21093
22,Male,African-American/Black,Flint,MI,genesee,2014,26049
22,Female,European-American/White,Pontiac,MI,oakland,2014,26125
22,Male,Hispanic/Latino,Fresno,CA,fresno,2014,6019
22,Male,Hispanic/Latino,Atwater,CA,merced,2014,6047
22,Male,Asian/Pacific Islander,Bernardino,CA,san bernardino,2014,6071
22,Male,Hispanic/Latino,Sacramento,CA,sacramento,2014,6067
22,Male,African-American/Black,Brooklyn,NY,kings,2014,36047
22,Male,European-American/White,Cisco,TX,eastland,2014,48133
22,Male,European-American/White,Macon,GA,bibb,2014,13021
22,Male,European-American/White,Winchester,TN,franklin,2014,47051
22,Male,African-American/Black,Beavercreek,OH,greene,2014,39057
22,Male,Hispanic/Latino,San Fernando,CA,los angeles,2014,6037
22,Female,Hispanic/Latino,Orlando,FL,orange,2014,12095
22,Male,African-American/Black,Eutaw,AL,greene,2014,1063
22,Male,Hispanic/Latino,Oklahoma City,OK,oklahoma,2014,40109
22,Male,African-American/Black,Brooklyn,NY,kings,2014,36047
22,Female,European-American/White,Little Rock,AR,pulaski,2014,5119
22,Male,African-American/Black,Benton Harbor,MI,berrien,2014,26021
22,Male,African-American/Black,Saratoga Springs,UT,utah,2014,49049
22,Male,European-American/White,Eureka,CA,humboldt,2014,6023
22,Male,European-American/White,Tacoma,WA,pierce,2014,53053
22,Male,European-American/White,Mt Pleasant,PA,westmoreland,2014,42129
22,Female,Hispanic/Latino,Penitas,TX,hidalgo,2014,48215
22,Male,African-American/Black,Charlotte,NC,mecklenburg,2014,37119
22,Male,African-American/Black,Indianapolis,IN,marion,2014,18097
22,Male,Hispanic/Latino,El Paso,TX,el paso,2014,48141
22,Male,Hispanic/Latino,Phoenix,AZ,maricopa,2014,4013
22,Male,African-American/Black,Las Vegas,NV,clark,2014,32003
22,Male,Hispanic/Latino,Van Nuys,CA,los angeles,2014,6037
22,Male,European-American/White,Los Angeles,CA,los angeles,2014,6037
22,Male,Hispanic/Latino,Bakersfield,CA,kern,2014,6029
22,Male,European-American/White,Mulvane,KS,sumner,2014,20191
22,Male,European-American/White,Lewisville,TX,denton,2014,48121
22,Male,Hispanic/Latino,Kingsville,TX,kleberg,2014,48273
22,Male,African-American/Black,Pittsburgh,PA,allegheny,2014,42003
22,Male,African-American/Black,Poplar Bluff,MO,butler,2014,29023
22,Male,European-American/White,Mt Vernon,OH,knox,2014,39083
22,Male,European-American/White,Greenwood,NE,cass,2014,31025
22,Female,European-American/White,Greenville,SC,greenville,2014,45045
22,Male,European-American/White,Chatham,MA,barnstable,2015,25001
22,Male,African-American/Black,Savannah,GA,chatham,2015,13051
22,Male,Native American/Alaskan,Chandler,AZ,maricopa,2015,4013
22,Male,Hispanic/Latino,Sugarland,TX,montgomery,2015,48339
22,Male,Hispanic/Latino,San Antonio,TX,bexar,2015,48029
22,Male,Hispanic/Latino,Sacramento,CA,sacramento,2015,6067
22,Male,Hispanic/Latino,Bakersfield,CA,kern,2015,6029
22,Male,European-American/White,Navarre,FL,santa rosa,2015,12113
22,Male,African-American/Black,Miami,FL,miami-dade,2015,12086
22,Male,African-American/Black,New Orleans,LA,orleans,2015,22071
22,Male,Hispanic/Latino,El Paso,TX,el paso,2015,48141
22,Male,Hispanic/Latino,El Paso,TX,el paso,2015,48141
22,Male,African-American/Black,Cincinnati,OH,hamilton,2015,39061
22,Male,Hispanic/Latino,Hackensack,NJ,bergen,2015,34003
22,Male,African-American/Black,South Lake Tahoe,CA,el dorado,2015,6017
22,Male,European-American/White,Fort Collins,CO,larimer,2015,8069
22,Male,African-American/Black,El Paso,TX,el paso,2015,48141
22,Male,Hispanic/Latino,San Jose,CA,santa clara,2015,6085
22,Male,European-American/White,Hendersonville,TN,sumner,2015,47165
22,Male,African-American/Black,Cypress,TX,harris,2015,48201
22,Male,African-American/Black,East Cleveland,OH,cuyahoga,2015,39035
22,Male,European-American/White,Farmington,PA,fayette,2015,42051
22,Male,Hispanic/Latino,Casselberry,FL,seminole,2015,12117
22,Male,African-American/Black,York,PA,york,2015,42133
22,Male,African-American/Black,Sanford,FL,seminole,2015,12117
22,Male,European-American/White,Dillon,MT,beaverhead,2015,30001
22,Male,European-American/White,Celina,OH,mercer,2015,39107
22,Female,European-American/White,Northwood,OH,wood,2015,39173
22,Male,African-American/Black,Oklahoma City,OK,oklahoma,2016,40109
22,Male,Native American/Alaskan,Rosebud,SD,todd,2016,46121
22,Male,African-American/Black,New Orleans,LA,orleans,2016,22071
22,Male,Hispanic/Latino,Anaheim,CA,orange,2016,6059
22,Male,African-American/Black,Baton Rouge,LA,e. baton rouge,2016,22033
22,Male,European-American/White,Fairborn,OH,greene,2016,39057
22,Male,Hispanic/Latino,Euless,TX,tarrant,2016,48439
22,Male,European-American/White,Beaumont,TX,jefferson,2016,48245
22,Male,African-American/Black,Reno,NV,washoe,2016,32031
22,Male,African-American/Black,Blue Springs,MO,jackson,2016,29095
22,Male,European-American/White,Florence,AL,lauderdale,2016,1077
22,Male,African-American/Black,Miami,FL,miami-dade,2016,12086
22,Male,African-American/Black,Jacksonville,FL,duval,2016,12031
22,Male,European-American/White,Gresham,OR,multnomah,2016,41051
22,Male,African-American/Black,Palm Bay,FL,brevard,2016,12009
22,Male,African-American/Black,Atlanta,GA,fulton,2016,13121
22,Male,African-American/Black,Lincoln,NE,lancaster,2016,31109
22,Male,African-American/Black,Chicago,IL,cook,2016,17031
22,Female,European-American/White,Katy,TX,fort bend,2016,48157
22,Male,European-American/White,Lake City,SC,florence,2016,45041
22,Male,Hispanic/Latino,Phoenix,AZ,maricopa,2016,4013
22,Male,African-American/Black,Birmingham,AL,jefferson,2016,1073
22,Male,African-American/Black,Tampa,FL,hillsborough,2016,12057
22,Male,European-American/White,Round Lake,IL,lake,2016,17097
22,Male,African-American/Black,St Cloud,MN,stearns,2016,27145
22,Male,European-American/White,Port St. Lucie,FL,st. lucie,2016,12111
22,Male,European-American/White,Burnsville,MN,dakota,2016,27037
22,Male,European-American/White,Morehead,KY,rowan,2016,21205
22,Female,African-American/Black,Collins,MS,covington,2016,28031
22,Male,Hispanic/Latino,San Diego,CA,san diego,2016,6073
22,Female,European-American/White,Long Beach,CA,los angeles,2016,6037
22,Male,European-American/White,Simpsonville,KY,shelby,2016,21211
22,Male,European-American/White,Luck,WI,polk,2016,55095
22,Male,European-American/White,Kansas City,MO,jackson,2017,29095
22,Male,African-American/Black,Norwalk,CT,fairfield,2017,9001
22,Male,African-American/Black,Norwalk,CT,fairfield,2017,9001
22,Male,African-American/Black,Lumberton,NC,robeson,2017,37155
22,Male,African-American/Black,Jacksonville,FL,duval,2017,12031
22,Male,European-American/White,Douglas City,CA,trinity,2017,6105
22,Male,African-American/Black,Portland,ME,cumberland,2017,23005
22,Male,European-American/White,Laramie,WY,albany,2017,56001
22,Male,European-American/White,Little Rock,AR,pulaski,2017,5119
22,Male,European-American/White,Johnstown,PA,cambria,2017,42021
22,Male,European-American/White,Carthage,MO,NA,2013,29097
22,Male,European-American/White,Carthage,MO,NA,2016,29097
22,Male,Race unspecified,Mesa,AZ,NA,2016,4013
22,Male,Race unspecified,Calumet City,IL,NA,2013,17031
22,Male,Race unspecified,Dolton,IL,NA,2014,17031
22,Male,European-American/White,Opelika,AL,NA,2015,1081
22,Male,European-American/White,Canton,GA,NA,2013,13057
22,Male,European-American/White,Boulder,CO,NA,2015,8013
22,Male,European-American/White,Bishop,CA,NA,2013,6027
22,Male,Hispanic/Latino,Chula Vista,CA,NA,2016,6073
22,Male,Hispanic/Latino,Modesto,CA,NA,2015,6099
22,Male,Race unspecified,El Paso,TX,NA,2016,48141
22,Male,Race unspecified,Grand Prairie,TX,NA,2013,48439
22,Male,Race unspecified,Miami,FL,NA,2015,12086
22,Male,European-American/White,Bear Creek Township,PA,NA,2016,42079
22,Male,European-American/White,Hellertown,PA,NA,2014,42095
22,Male,European-American/White,Hutchinson,KS,NA,2015,20155
22,Male,European-American/White,Little Rock,AR,NA,2016,5119
22,Male,European-American/White,Burlington,NC,NA,2017,37001
22,Male,Race unspecified,Groton,CT,NA,2017,9011
22,Male,Race unspecified,Ruston,LA,NA,2013,22061
22,Male,Hispanic/Latino,Las Vegas,NV,NA,2014,32003
22,Male,Hispanic/Latino,Las Vegas,NV,NA,2016,32003
23,Male,African-American/Black,North Augusta,SC,aiken,2013,45003
23,Male,African-American/Black,Tucson,AZ,pima,2013,4019
23,Male,Hispanic/Latino,Poth,TX,wilson,2013,48493
23,Male,Hispanic/Latino,Indio,CA,riverside,2013,6065
23,Male,African-American/Black,Jacksonville,FL,duval,2013,12031
23,Male,European-American/White,Carmel,IN,hamilton,2013,18057
23,Male,African-American/Black,Detroit,MI,wayne,2013,26163
23,Male,African-American/Black,Jackson,MS,jackson,2013,28059
23,Male,European-American/White,Oklahoma City,OK,oklahoma,2013,40109
23,Male,African-American/Black,West Carrollton,OH,montgomery,2013,39113
23,Male,African-American/Black,Baltimore,MD,baltimore,2013,24005
23,Male,African-American/Black,Covington,LA,st. tammany,2013,22103
23,Male,African-American/Black,Houston,TX,harris,2013,48201
23,Male,Hispanic/Latino,Leesburg,FL,lake,2013,12069
23,Male,Hispanic/Latino,Eden,TX,concho,2013,48095
23,Male,Hispanic/Latino,Norco,CA,riverside,2013,6065
23,Male,Hispanic/Latino,Los Angeles,CA,los angeles,2013,6037
23,Male,Asian/Pacific Islander,Santa Monica,CA,los angeles,2013,6037
23,Male,African-American/Black,Beloit,WI,rock,2013,55105
23,Male,Hispanic/Latino,Round Rock,TX,williamson,2013,48491
23,Male,Hispanic/Latino,Long Beach,CA,los angeles,2013,6037
23,Male,European-American/White,Orange,MA,franklin,2013,25011
23,Female,African-American/Black,Memphis,TN,shelby,2013,47157
23,Male,Native American/Alaskan,Eagle Butte,SD,dewey,2013,46041
23,Male,African-American/Black,Pembroke Pines,FL,broward,2013,12011
23,Male,African-American/Black,Hammond,IN,lake,2013,18089
23,Male,African-American/Black,Kansas City,MO,jackson,2013,29095
23,Male,African-American/Black,Springfield,MA,hampden,2013,25013
23,Male,African-American/Black,Baltimore,MD,baltimore,2013,24005
23,Male,African-American/Black,Trenton,NJ,mercer,2013,34021
23,Male,European-American/White,St. Petersburg,FL,pinellas,2013,12103
23,Male,Hispanic/Latino,Los Angeles,CA,los angeles,2013,6037
23,Female,European-American/White,Plymouth,MA,plymouth,2013,25023
23,Male,European-American/White,Enid,OK,garfield,2013,40047
23,Male,European-American/White,Poughkeepsie,NY,dutchess,2013,36027
23,Male,African-American/Black,Miami Gardens,FL,miami-dade,2013,12086
23,Male,European-American/White,Independence,LA,tangipahoa,2013,22105
23,Male,Hispanic/Latino,Laurel,MS,jones,2013,28067
23,Male,European-American/White,Idaho Falls,ID,bonneville,2013,16019
23,Male,European-American/White,Nashville,GA,berrien,2013,13019
23,Male,African-American/Black,Bridgeport,CT,fairfield,2013,9001
23,Male,African-American/Black,Pine Bluff,AR,jefferson,2013,5069
23,Male,European-American/White,Alamo Heights,TX,bexar,2013,48029
23,Male,African-American/Black,Tukwila,WA,king,2013,53033
23,Female,African-American/Black,Kent,MD,prince georges,2013,24033
23,Male,European-American/White,Neillsville,WI,clark,2013,55019
23,Male,European-American/White,Arvada,CO,jefferson,2014,8059
23,Male,Hispanic/Latino,Yakima,WA,yakima,2014,53077
23,Male,European-American/White,Harrisburg,PA,dauphin,2014,42043
23,Male,European-American/White,Fairfield,OH,butler,2014,39017
23,Male,European-American/White,Killeen,TX,bell,2014,48027
23,Male,African-American/Black,Swansea,SC,lexington,2014,45063
23,Male,African-American/Black,Sylacauga,AL,talladega,2014,1121
23,Male,Native American/Alaskan,Tustin,CA,orange,2014,6059
23,Male,European-American/White,Spokane Valley,WA,spokane,2014,53063
23,Male,African-American/Black,San Antonio,TX,bexar,2014,48029
23,Male,Hispanic/Latino,Pueblo,CO,pueblo,2014,8101
23,Male,Hispanic/Latino,LaBelle,FL,hendry,2014,12051
23,Male,African-American/Black,Los Angeles,CA,los angeles,2014,6037
23,Male,European-American/White,Oberlin,KS,decatur,2014,20039
23,Male,European-American/White,Hartsville,SC,darlington,2014,45031
23,Male,European-American/White,Anderson,IN,madison,2014,18095
23,Female,European-American/White,Chicago,IL,cook,2014,17031
23,Male,African-American/Black,Fenton,MO,st. louis,2014,29189
23,Male,African-American/Black,Chicago,IL,cook,2014,17031
23,Male,Hispanic/Latino,Long Beach,CA,los angeles,2014,6037
23,Male,European-American/White,Denham Springs,LA,livingston,2014,22063
23,Male,European-American/White,Portland,OR,multnomah,2014,41051
23,Male,African-American/Black,Detroit,MI,wayne,2014,26163
23,Male,Native American/Alaskan,Redding,CA,shasta,2014,6089
23,Male,Hispanic/Latino,Seattle,WA,king,2014,53033
23,Female,African-American/Black,Chicago,IL,cook,2014,17031
23,Male,European-American/White,Arlington,WA,snohomish,2014,53061
23,Male,Hispanic/Latino,Fallon,NV,churchill,2014,32001
23,Male,African-American/Black,Oakland,CA,alameda,2014,6001
23,Male,Hispanic/Latino,Bridgeport,CT,fairfield,2014,9001
23,Male,European-American/White,Erie,KS,neosho,2014,20133
23,Male,European-American/White,Longview,TX,gregg,2014,48183
23,Male,European-American/White,Fort Smith,AR,sebastian,2014,5131
23,Male,Hispanic/Latino,League City,TX,galveston,2014,48167
23,Male,European-American/White,Las Vegas,NV,clark,2014,32003
23,Male,European-American/White,Greenville,SC,greenville,2014,45045
23,Male,European-American/White,Dayton,TN,rhea,2014,47143
23,Male,European-American/White,Barton,VT,orleans,2014,50019
23,Male,African-American/Black,Chicago,IL,cook,2014,17031
23,Male,African-American/Black,Wasilla,AK,matanuska-susitna,2014,2170
23,Male,African-American/Black,Rutherford,NJ,bergen,2014,34003
23,Male,European-American/White,Dallas,TX,dallas,2014,48113
23,Male,Hispanic/Latino,Tucson,AZ,pima,2014,4019
23,Male,European-American/White,Chunky,MS,newton,2014,28101
23,Male,African-American/Black,Ridgeland,MS,madison,2014,28089
23,Male,European-American/White,Fulton,KY,hickman,2014,21105
23,Male,African-American/Black,Cocoa,FL,brevard,2014,12009
23,Male,Hispanic/Latino,Wichita,KS,sedgwick,2015,20173
23,Male,African-American/Black,Tulsa,OK,tulsa,2015,40143
23,Male,African-American/Black,Houston,TX,harris,2015,48201
23,Male,African-American/Black,St. Louis,MO,st. louis,2015,29189
23,Male,African-American/Black,San Jose,CA,santa clara,2015,6085
23,Male,European-American/White,San Bernardino,CA,san bernardino,2015,6071
23,Male,European-American/White,Port Wentworth,GA,chatham,2015,13051
23,Male,European-American/White,Indianapolis,IN,marion,2015,18097
23,Male,African-American/Black,Jennings,MO,st. louis,2015,29189
23,Male,African-American/Black,Cypress,TX,harris,2015,48201
23,Male,European-American/White,Rochester,NY,monroe,2015,36055
23,Male,Hispanic/Latino,Forreston,TX,ellis,2015,48139
23,Male,European-American/White,San Francisco,CA,san francisco,2015,6075
23,Female,African-American/Black,St. Martinville,LA,st. martin,2015,22099
23,Male,African-American/Black,Chicago,IL,cook,2015,17031
23,Male,Hispanic/Latino,Homedale,ID,owyhee,2015,16073
23,Male,African-American/Black,Jacksonville,FL,duval,2015,12031
23,Male,African-American/Black,Newport News,VA,newport news city,2015,51700
23,Male,European-American/White,Dunsmuir,CA,siskiyou,2015,6093
23,Male,Hispanic/Latino,Lynn,MA,essex,2015,25009
23,Male,European-American/White,Cheyenne,WY,laramie,2015,56021
23,Male,African-American/Black,Orlando,FL,orange,2015,12095
23,Male,African-American/Black,Oakland,CA,alameda,2015,6001
23,Male,European-American/White,Cleveland,TN,bradley,2015,47011
23,Male,African-American/Black,Sunnyvale,CA,santa clara,2015,6085
23,Male,European-American/White,Longview,TX,gregg,2015,48183
23,Male,European-American/White,Merrimack,NH,hillsborough,2015,33011
23,Male,European-American/White,Sylacauga,AL,talladega,2015,1121
23,Male,European-American/White,Harrisonburg,VA,rockingham,2015,51165
23,Female,European-American/White,Sand City,CA,monterey,2015,6053
23,Male,Hispanic/Latino,Lovington,NM,lea,2015,35025
23,Male,African-American/Black,Taylors,SC,greenville,2015,45045
23,Male,African-American/Black,Houston,TX,harris,2015,48201
23,Male,European-American/White,Springfield,MO,greene,2015,29077
23,Female,European-American/White,Paradise,CA,butte,2015,6007
23,Male,Hispanic/Latino,Bakersfield,CA,kern,2015,6029
23,Male,European-American/White,Bangor,ME,penobscot,2015,23019
23,Female,European-American/White,Los Angeles,CA,los angeles,2015,6037
23,Male,European-American/White,Camarillo,CA,ventura,2015,6111
23,Male,Asian/Pacific Islander,Encinitas,CA,san diego,2015,6073
23,Male,Hispanic/Latino,Porterville,CA,tulare,2015,6107
23,Male,African-American/Black,Las Vegas,NV,clark,2015,32003
