age,gender,race,city,state,county,year,fips
15,Male,Asian/Pacific Islander,Watsonville,CA,santa cruz,2016,6087
15,Male,African-American/Black,South Bend,IN,st. joseph,2017,18141
15,Male,African-American/Black,Louisville,KY,jefferson,2017,21111
15,Male,African-American/Black,Stockton,CA,san joaquin,2017,6077
15,Male,African-American/Black,Balch Springs,TX,dallas,2017,48113
15,Male,Hispanic/Latino,Kentwood,MI,NA,2017,26081
15,Male,Race unspecified,Killeen,TX,NA,2017,48027
15,Male,Race unspecified,Greenville,FL,NA,2017,12065
15,Male,Hispanic/Latino,Corry,PA,NA,2015,42049
15,Male,European-American/White,Hungry Horse,MT,NA,2015,30029
15,Female,Race unspecified,Peachland,NC,NA,2017,37007
15,Male,Race unspecified,Lumberton,NC,NA,2014,37155
16,Male,Hispanic/Latino,Vancouver,WA,clark,2013,53011
16,Female,European-American/White,Ocean Springs,MS,jackson,2013,28059
16,Male,African-American/Black,Brooklyn,NY,kings,2013,36047
16,Male,African-American/Black,Phoenix,AZ,maricopa,2013,4013
16,Male,African-American/Black,Chicago,IL,cook,2013,17031
16,Male,European-American/White,Kansas City,MO,jackson,2013,29095
16,Female,African-American/Black,Mobile,AL,mobile,2013,1097
16,Male,African-American/Black,Fayetteville,NC,cumberland,2013,37051
16,Female,European-American/White,Kosciusko,MS,attala,2013,28007
16,Male,European-American/White,Indianapolis,IN,marion,2013,18097
16,Male,Hispanic/Latino,San Diego,CA,san diego,2013,6073
16,Male,European-American/White,Grand Prairie,TX,tarrant,2013,48439
16,Male,African-American/Black,Nasvhille,TN,davidson,2013,47037
16,Male,African-American/Black,Gautier,MS,jackson,2014,28059
16,Male,African-American/Black,Picayune,MS,pearl river,2014,28109
16,Male,African-American/Black,Detroit,MI,wayne,2014,26163
16,Male,Asian/Pacific Islander,Tonalea,AZ,coconino,2014,4005
16,Female,Hispanic/Latino,Detroit,MI,wayne,2014,26163
16,Male,African-American/Black,Modesto,CA,stanislaus,2014,6099
16,Male,African-American/Black,Modesto,CA,stanislaus,2014,6099
16,Female,Hispanic/Latino,Modesto,CA,stanislaus,2014,6099
16,Male,Hispanic/Latino,Española,NM,rio arriba,2014,35039
16,Male,European-American/White,Cleveland,TN,bradley,2014,47011
16,Male,African-American/Black,Chicago,IL,cook,2014,17031
16,Male,African-American/Black,Chicago,IL,cook,2014,17031
16,Male,Hispanic/Latino,Austin,TX,travis,2014,48453
16,Male,African-American/Black,Atlanta,GA,de kalb,2014,13089
16,Male,Middle Eastern,Houston,TX,harris,2014,48201
16,Male,African-American/Black,Nashville,TN,davidson,2014,47037
16,Male,European-American/White,Essex,MD,baltimore,2015,24005
16,Male,African-American/Black,Jacksonville,FL,duval,2015,12031
16,Female,European-American/White,French Camp,CA,san joaquin,2015,6077
16,Female,European-American/White,Carrollton,GA,carroll,2015,13045
16,Male,African-American/Black,Philadelphia,PA,philadelphia,2015,42101
16,Male,African-American/Black,Antioch,CA,contra costa,2015,6013
16,Male,European-American/White,Blue Springs,MO,jackson,2016,29095
16,Male,Hispanic/Latino,Addison,TX,dallas,2016,48113
16,Male,African-American/Black,Gainesville,FL,alachua,2016,12001
16,Female,European-American/White,Portales,NM,roosevelt,2016,35041
16,Male,African-American/Black,Seattle,WA,king,2016,53033
16,Male,African-American/Black,Chicago,IL,cook,2016,17031
16,Male,Asian/Pacific Islander,Somerset,TX,atascosa,2016,48013
16,Male,Hispanic/Latino,Los Angeles,CA,los angeles,2016,6037
16,Male,African-American/Black,East St. Louis,IL,st. clair,2016,17163
16,Female,European-American/White,Temple,GA,carroll,2016,13045
16,Female,African-American/Black,Salley,SC,aiken,2017,45003
16,Male,Hispanic/Latino,Salinas,CA,monterey,2017,6053
16,Female,Hispanic/Latino,Mcallen,TX,hidalgo,2017,48215
16,Male,Hispanic/Latino,Norcross,GA,gwinnett,2017,13135
16,Male,African-American/Black,South Bend,IN,st. joseph,2017,18141
16,Female,African-American/Black,Hayward,CA,alameda,2017,6001
16,Male,Hispanic/Latino,Fresno,CA,fresno,2017,6019
16,Male,Race unspecified,Chicago,IL,NA,2014,17031
16,Male,European-American/White,Woodstock,GA,NA,2015,13057
16,Male,Hispanic/Latino,Los Angeles,CA,NA,2016,6037
16,Male,Race unspecified,Costa Mesa,CA,NA,2016,6059
16,Male,Hispanic/Latino,Woodland,CA,NA,2017,6113
16,Male,Race unspecified,Houston,TX,NA,2017,48201
16,Male,Race unspecified,Baltimore,MD,NA,2016,24510
16,Male,European-American/White,Bradenton,FL,NA,2016,12081
16,Male,Race unspecified,Live Oak,FL,NA,2013,12121
16,Female,European-American/White,Indiana,PA,NA,2014,42063
16,Female,Race unspecified,Peachland,NC,NA,2017,37007
16,Male,Race unspecified,Lumberton,NC,NA,2014,37155
17,Male,African-American/Black,Uxbridge,MA,worcester,2013,25027
17,Male,European-American/White,Renton,WA,king,2013,53033
17,Male,African-American/Black,Gary,IN,lake,2013,18089
17,Male,African-American/Black,Southfield,MI,oakland,2013,26125
17,Male,African-American/Black,Brooklyn,NY,kings,2013,36047
17,Male,African-American/Black,Charlotte,NC,mecklenburg,2013,37119
17,Male,African-American/Black,Chicago,IL,cook,2013,17031
17,Female,African-American/Black,Fairburn,GA,fulton,2013,13121
17,Male,Hispanic/Latino,Compton,CA,los angeles,2013,6037
17,Male,European-American/White,Ashland,MO,boone,2013,29019
17,Male,African-American/Black,Milwaukee,WI,milwaukee,2013,55079
17,Male,Hispanic/Latino,Houston,TX,harris,2013,48201
17,Female,European-American/White,Jasper,TX,jasper,2013,48241
17,Male,Hispanic/Latino,Durham,NC,durham,2013,37063
17,Male,European-American/White,Pensacola,FL,escambia,2013,12033
17,Male,European-American/White,Euharlee,GA,bartow,2014,13015
17,Male,African-American/Black,Houston,TX,harris,2014,48201
17,Male,European-American/White,Montgomery,TX,montgomery,2014,48339
17,Male,European-American/White,Detroit,MI,wayne,2014,26163
17,Male,Hispanic/Latino,Salt Lake City,UT,salt lake,2014,49035
17,Male,Hispanic/Latino,Purcellville,VA,loudoun,2014,51107
17,Male,African-American/Black,New Orleans,LA,orleans,2014,22071
17,Male,Hispanic/Latino,Fort Worth,TX,tarrant,2014,48439
17,Male,European-American/White,Miami,FL,miami-dade,2014,12086
17,Male,European-American/White,Cross City,FL,dixie,2014,12029
17,Male,African-American/Black,Orlando,FL,orange,2014,12095
17,Male,African-American/Black,Washington,DC,the district,2014,11001
17,Male,African-American/Black,Hazel Park,MI,oakland,2014,26125
17,Female,African-American/Black,Lakeland,FL,polk,2014,12105
17,Male,Hispanic/Latino,Miami,FL,miami-dade,2014,12086
17,Male,African-American/Black,Chicago,IL,cook,2014,17031
17,Male,African-American/Black,Chicago,IL,cook,2014,17031
17,Male,African-American/Black,Fayetteville,NC,cumberland,2014,37051
17,Male,European-American/White,Columbus,KS,cherokee,2014,20021
