GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021
"G1701750","2011-2015",,,"Illinois","17","Stark County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stark County, Illinois",5859,5794,5666,44,0,33,0,0,51,0,51,65,53,0,0,0,0,0,12,12,0,"Stark County, Illinois",0,0,15,22,15,21,15,15,25,15,25,0,16,15,15,15,15,15,16,16,15
"G1701770","2011-2015",,,"Illinois","17","Stephenson County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stephenson County, Illinois",46625,45081,39229,4260,46,391,0,17,1138,17,1121,1544,994,26,2,0,0,418,104,18,86,"Stephenson County, Illinois",0,0,34,256,31,43,23,28,265,19,263,0,295,50,3,23,23,349,113,23,107
"G1701790","2011-2015",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tazewell County, Illinois",135697,132756,128024,1623,158,1212,26,56,1657,96,1561,2941,2276,36,0,0,0,458,171,93,78,"Tazewell County, Illinois",0,0,75,164,61,103,37,61,203,57,198,0,241,36,26,26,26,229,94,72,60
"G1701810","2011-2015",,,"Illinois","17","Union County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Union County, Illinois",17551,16667,16099,212,12,74,0,33,237,0,237,884,516,55,6,0,0,274,33,23,10,"Union County, Illinois",0,0,47,108,14,32,17,47,109,17,109,0,146,76,8,17,17,130,25,20,15
"G1701830","2011-2015",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermilion County, Illinois",80368,76653,63786,11073,201,657,33,60,843,10,833,3715,2750,48,108,0,0,575,234,92,142,"Vermilion County, Illinois",0,0,44,171,65,99,50,52,200,15,199,0,233,40,134,26,26,206,135,73,128
"G1701850","2011-2015",,,"Illinois","17","Wabash County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wabash County, Illinois",11652,11468,11124,109,18,106,0,0,111,0,111,184,141,0,0,0,0,18,25,0,25,"Wabash County, Illinois",0,0,17,93,24,23,17,17,90,17,90,0,48,17,17,17,17,27,34,17,34
"G1701870","2011-2015",,,"Illinois","17","Warren County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, Illinois",17701,16100,15177,462,42,305,0,0,114,0,114,1601,976,5,0,0,0,505,115,0,115,"Warren County, Illinois",0,0,17,76,61,9,17,17,66,17,66,0,241,7,17,17,17,255,165,17,165
"G1701890","2011-2015",,,"Illinois","17","Washington County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Illinois",14457,14225,13907,107,8,48,0,2,153,4,149,232,135,0,0,5,0,81,11,6,5,"Washington County, Illinois",0,0,7,60,11,25,17,3,64,6,64,0,64,17,17,7,17,59,13,9,9
"G1701910","2011-2015",,,"Illinois","17","Wayne County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Illinois",16555,16458,16007,108,20,120,0,0,203,3,200,97,83,0,6,0,0,8,0,0,0,"Wayne County, Illinois",0,68,5,26,21,93,17,17,119,5,118,68,64,17,10,17,17,12,17,17,17
"G1701930","2011-2015",,,"Illinois","17","White County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White County, Illinois",14464,14280,14023,58,6,54,0,2,137,0,137,184,177,0,0,0,0,0,7,7,0,"White County, Illinois",0,0,3,41,10,27,17,3,57,17,57,0,11,17,17,17,17,17,11,11,17
"G1701950","2011-2015",,,"Illinois","17","Whiteside County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whiteside County, Illinois",57525,50827,48915,900,105,291,0,53,563,9,554,6698,4246,128,48,52,17,1468,739,462,277,"Whiteside County, Illinois",0,0,42,115,48,32,26,49,122,13,119,0,396,74,48,78,31,318,229,187,124
"G1701970","2011-2015",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Will County, Illinois",683995,572286,448959,74943,595,33994,42,653,13100,744,12356,111709,62712,892,872,228,24,42305,4676,3194,1482,"Will County, Illinois",0,0,474,939,174,804,43,427,1290,410,1315,0,2508,318,426,157,27,2475,761,682,359
"G1701990","2011-2015",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamson County, Illinois",67121,65558,60884,2776,166,637,14,22,1059,16,1043,1563,1202,110,12,0,0,137,102,75,27,"Williamson County, Illinois",0,0,18,201,78,92,22,32,219,21,217,0,157,122,17,26,26,94,69,60,38
"G1702010","2011-2015",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winnebago County, Illinois",290439,256317,206488,35926,243,7183,75,520,5882,182,5700,34122,22300,476,445,40,29,8458,2374,1123,1251,"Winnebago County, Illinois",0,0,180,451,92,251,87,201,559,125,541,0,969,241,336,42,31,1009,525,538,381
"G1702030","2011-2015",,,"Illinois","17","Woodford County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodford County, Illinois",39106,38459,37487,213,14,305,0,15,425,0,425,647,368,15,0,0,0,224,40,31,9,"Woodford County, Illinois",0,0,22,69,18,53,23,22,89,23,89,0,104,19,23,23,23,97,30,27,11
"G1800010","2011-2015",,,"Indiana","18","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams County, Indiana",34642,33132,32584,242,39,109,0,27,131,4,127,1510,1205,0,0,0,0,274,31,31,0,"Adams County, Indiana",0,0,44,36,28,24,24,42,53,16,50,0,109,24,24,24,24,100,34,34,24
"G1800030","2011-2015",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allen County, Indiana",363453,338088,273309,41223,695,11480,146,786,10449,243,10206,25365,15588,840,249,16,127,6744,1801,993,808,"Allen County, Indiana",0,0,306,878,160,402,64,364,1009,184,1034,0,921,355,134,25,189,910,426,346,289
"G1800050","2011-2015",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bartholomew County, Indiana",79488,74532,67492,1579,217,3923,56,187,1078,69,1009,4956,1708,0,0,0,0,3047,201,104,97,"Bartholomew County, Indiana",0,0,154,159,87,198,19,154,290,83,265,0,511,27,27,27,27,534,128,78,105
"G1800070","2011-2015",,,"Indiana","18","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Indiana",8752,8294,8128,73,2,13,0,0,78,7,71,458,434,1,0,0,0,23,0,0,0,"Benton County, Indiana",0,0,3,32,3,13,16,16,34,9,33,0,21,2,16,16,16,21,16,16,16
"G1800090","2011-2015",,,"Indiana","18","Blackford County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blackford County, Indiana",12476,12299,11988,72,8,31,0,4,196,2,194,177,169,0,0,0,0,0,8,0,8,"Blackford County, Indiana",0,0,6,35,12,22,18,4,39,4,40,0,13,18,18,18,18,18,13,18,13
"G1800110","2011-2015",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Indiana",60511,58972,55938,750,137,1359,0,49,739,10,729,1539,1214,0,0,9,0,60,256,162,94,"Boone County, Indiana",0,0,50,142,78,116,27,47,210,17,211,0,125,27,27,16,27,48,125,137,89
"G1800130","2011-2015",,,"Indiana","18","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Indiana",15011,14790,14425,49,10,51,0,0,255,10,245,221,174,0,0,0,0,4,43,16,27,"Brown County, Indiana",0,0,15,39,18,55,18,18,61,15,60,0,51,18,18,18,18,8,47,21,36
"G1800150","2011-2015",,,"Indiana","18","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Indiana",20014,19216,18882,68,8,16,3,25,214,5,209,798,693,0,13,22,0,32,38,23,15,"Carroll County, Indiana",0,0,34,49,13,22,6,33,56,7,54,0,66,18,23,32,18,32,36,30,17
"G1800170","2011-2015",,,"Indiana","18","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cass County, Indiana",38476,33256,31457,529,114,539,4,204,409,8,401,5220,1526,8,0,0,45,3140,501,373,128,"Cass County, Indiana",0,0,299,78,57,50,7,298,121,12,118,0,426,16,24,24,64,505,332,308,120
"G1800190","2011-2015",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Indiana",113181,107466,95634,7891,107,984,17,102,2731,15,2716,5715,4273,39,48,12,0,1195,148,64,84,"Clark County, Indiana",0,0,108,355,90,194,27,110,394,21,393,0,520,38,61,19,27,494,99,53,79
"G1800210","2011-2015",,,"Indiana","18","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Indiana",26686,26344,25810,63,42,20,0,0,409,0,409,342,177,0,0,0,0,71,94,94,0,"Clay County, Indiana",0,0,21,40,26,30,21,21,53,21,53,0,103,21,21,21,21,86,99,99,21
"G1800230","2011-2015",,,"Indiana","18","Clinton County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clinton County, Indiana",32835,28079,27531,237,72,88,35,11,105,7,98,4756,2939,170,0,0,0,1429,218,131,87,"Clinton County, Indiana",0,0,18,66,43,20,58,16,52,10,50,0,488,145,24,24,24,471,146,98,79
"G1800250","2011-2015",,,"Indiana","18","Crawford County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Indiana",10591,10438,10220,11,121,0,0,0,86,5,81,153,85,0,17,16,0,18,17,15,2,"Crawford County, Indiana",0,0,10,12,37,18,18,18,35,10,35,0,43,18,21,24,18,29,22,21,4
"G1800270","2011-2015",,,"Indiana","18","Daviess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daviess County, Indiana",32411,30960,30145,457,6,111,0,10,231,29,202,1451,1023,41,0,0,32,347,8,8,0,"Daviess County, Indiana",0,0,16,85,10,77,24,16,124,50,111,0,192,41,24,24,50,183,13,13,24
"G1800290","2011-2015",,,"Indiana","18","Dearborn County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dearborn County, Indiana",49679,49110,47886,394,161,254,53,82,280,7,273,569,361,0,0,19,0,189,0,0,0,"Dearborn County, Indiana",0,0,67,160,62,36,93,67,142,12,143,0,159,24,24,30,24,155,24,24,24
"G1800310","2011-2015",,,"Indiana","18","Decatur County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Decatur County, Indiana",26240,25762,25010,148,26,341,0,0,237,94,143,478,241,56,0,0,0,181,0,0,0,"Decatur County, Indiana",0,0,132,28,37,21,21,21,141,132,51,0,118,79,21,21,21,138,21,21,21
"G1800330","2011-2015",,,"Indiana","18","DeKalb County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Indiana",42449,41342,40452,52,30,192,0,4,612,4,608,1107,683,58,0,0,0,221,145,31,114,"DeKalb County, Indiana",0,0,14,36,27,99,24,7,116,7,116,0,152,63,24,24,24,127,76,33,76
"G1800350","2011-2015",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware County, Indiana",117335,114949,102621,6753,138,1453,26,119,3839,23,3816,2386,1532,60,7,25,0,523,239,123,116,"Delaware County, Indiana",0,0,67,511,91,205,20,74,530,21,529,0,288,60,13,27,27,262,138,119,74
"G1800370","2011-2015",,,"Indiana","18","Dubois County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dubois County, Indiana",42291,39541,38857,164,24,260,0,0,236,19,217,2750,1463,0,12,13,0,1232,30,30,0,"Dubois County, Indiana",0,0,30,74,35,140,24,24,168,30,164,0,528,24,22,19,24,536,49,49,24
"G1800390","2011-2015",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elkhart County, Indiana",200685,170922,152635,11206,218,2150,49,555,4109,178,3931,29763,20395,404,51,5,7,7545,1356,810,546,"Elkhart County, Indiana",0,0,297,509,75,228,34,330,524,112,510,0,1329,242,57,10,11,1340,462,315,371
"G1800410","2011-2015",,,"Indiana","18","Fayette County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Indiana",23773,23539,22819,476,0,68,0,0,176,13,163,234,65,0,0,8,0,159,2,0,2,"Fayette County, Indiana",0,0,15,84,21,59,21,21,73,15,73,0,70,21,21,12,21,70,4,21,4
"G1800430","2011-2015",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Floyd County, Indiana",75900,73721,67339,3699,212,785,0,41,1645,24,1621,2179,1281,35,42,0,0,740,81,24,57,"Floyd County, Indiana",0,0,42,230,98,89,27,31,265,28,261,0,322,51,45,27,27,316,49,26,43
"G1800450","2011-2015",,,"Indiana","18","Fountain County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fountain County, Indiana",16888,16489,16169,75,61,19,0,0,165,0,165,399,342,0,5,0,0,52,0,0,0,"Fountain County, Indiana",0,0,18,21,53,24,18,18,62,18,62,0,65,18,8,18,18,63,18,18,18
"G1800470","2011-2015",,,"Indiana","18","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Indiana",22935,22696,22337,55,29,127,0,0,148,0,148,239,142,0,0,0,0,73,24,19,5,"Franklin County, Indiana",0,0,21,48,38,89,21,21,102,21,102,0,65,21,21,21,21,59,30,28,10
"G1800490","2011-2015",,,"Indiana","18","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Indiana",20527,19545,18984,204,73,98,4,0,182,0,182,982,441,0,17,0,0,474,50,50,0,"Fulton County, Indiana",0,0,21,62,50,45,8,21,93,21,93,0,146,21,28,21,21,153,48,48,21
"G1800510","2011-2015",,,"Indiana","18","Gibson County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gibson County, Indiana",33668,33164,31718,553,35,84,0,12,762,2,760,504,217,0,0,0,0,287,0,0,0,"Gibson County, Indiana",0,0,17,111,42,34,24,16,124,3,124,0,128,24,24,24,24,128,24,24,24
"G1800530","2011-2015",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Indiana",68896,66159,59110,4523,130,516,0,12,1868,19,1849,2737,1965,115,0,0,0,422,235,158,77,"Grant County, Indiana",0,0,24,307,75,89,27,19,328,17,325,0,235,89,27,27,27,161,140,119,59
"G1800550","2011-2015",,,"Indiana","18","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Indiana",32815,32416,31824,69,4,118,62,0,339,3,336,399,350,11,0,0,0,30,8,0,8,"Greene County, Indiana",0,0,5,27,7,46,88,24,107,5,107,0,42,18,24,24,24,33,14,24,14
"G1800570","2011-2015",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton County, Indiana",296635,285634,252168,10485,350,15817,19,613,6182,462,5720,11001,7749,100,21,49,0,2078,1004,567,437,"Hamilton County, Indiana",0,0,414,660,156,491,31,413,805,328,694,0,746,99,35,61,27,472,460,341,258
"G1800590","2011-2015",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Indiana",71328,69922,66743,1417,219,382,13,30,1118,58,1060,1406,1265,0,19,2,0,65,55,11,44,"Hancock County, Indiana",0,0,72,278,99,173,20,37,332,66,332,0,115,27,29,4,27,71,61,23,57
"G1800610","2011-2015",,,"Indiana","18","Harrison County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrison County, Indiana",39230,38552,37685,316,70,145,0,3,333,18,315,678,551,9,0,0,0,75,43,27,16,"Harrison County, Indiana",0,0,29,90,71,33,24,5,127,29,124,0,73,13,24,24,24,66,47,42,26
"G1800630","2011-2015",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hendricks County, Indiana",153435,148164,133022,8702,188,3608,13,619,2012,0,2012,5271,3989,145,48,69,0,681,339,296,43,"Hendricks County, Indiana",0,0,235,382,93,319,45,340,441,27,441,0,419,174,46,100,27,299,195,190,52
"G1800650","2011-2015",,,"Indiana","18","Henry County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Indiana",49146,48353,46221,851,124,173,1,30,953,35,918,793,518,5,3,12,3,189,63,41,22,"Henry County, Indiana",0,0,47,140,74,68,2,47,171,39,170,0,86,9,6,20,5,81,41,31,27
"G1800670","2011-2015",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Indiana",82765,80281,71375,5745,201,1023,29,69,1839,55,1784,2484,1665,122,21,2,43,478,153,127,26,"Howard County, Indiana",0,0,84,280,79,71,40,69,292,60,293,0,252,88,25,5,52,243,104,99,25
"G1800690","2011-2015",,,"Indiana","18","Huntington County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntington County, Indiana",36863,36126,35238,261,144,282,0,0,201,0,201,737,503,13,0,11,3,154,53,50,3,"Huntington County, Indiana",0,0,24,51,67,25,24,24,91,24,91,0,84,14,24,20,5,81,44,42,5
"G1800710","2011-2015",,,"Indiana","18","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Indiana",43471,40809,39195,337,92,605,0,59,521,15,506,2662,1051,5,0,0,0,1516,90,66,24,"Jackson County, Indiana",0,0,90,84,85,113,24,75,152,28,153,0,379,11,24,24,24,382,70,68,23
"G1800730","2011-2015",,,"Indiana","18","Jasper County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jasper County, Indiana",33448,31512,30761,241,0,73,0,0,437,0,437,1936,1569,6,83,0,0,227,51,17,34,"Jasper County, Indiana",0,0,24,60,24,31,24,24,65,24,65,0,206,11,98,24,24,170,54,24,47
"G1800750","2011-2015",,,"Indiana","18","Jay County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jay County, Indiana",21255,20628,20274,123,39,57,0,0,135,0,135,627,582,0,0,0,0,14,31,5,26,"Jay County, Indiana",0,0,21,65,18,40,21,21,44,21,44,0,38,21,21,21,21,18,31,10,29
"G1800770","2011-2015",,,"Indiana","18","Jefferson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Indiana",32453,31665,30322,629,53,271,0,8,382,9,373,788,477,0,7,0,0,304,0,0,0,"Jefferson County, Indiana",0,0,19,95,49,38,24,12,105,14,106,0,278,24,14,24,24,281,24,24,24
"G1800790","2011-2015",,,"Indiana","18","Jennings County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jennings County, Indiana",28113,27478,26837,401,22,65,0,0,153,0,153,635,509,0,0,0,0,84,42,34,8,"Jennings County, Indiana",0,0,21,106,37,48,21,21,113,21,113,0,122,21,21,21,21,85,59,57,14
"G1800810","2011-2015",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Indiana",145645,140750,132589,2740,83,2932,11,251,2144,539,1605,4895,2584,414,14,0,0,1552,331,150,181,"Johnson County, Indiana",0,0,194,182,64,405,20,203,471,352,339,0,661,403,25,27,27,726,253,157,212
"G1800830","2011-2015",,,"Indiana","18","Knox County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knox County, Indiana",38062,37392,35471,1125,32,220,55,31,458,0,458,670,479,7,0,0,19,165,0,0,0,"Knox County, Indiana",0,0,24,139,23,76,80,37,125,24,125,0,117,12,24,24,29,114,24,24,24
"G1800850","2011-2015",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kosciusko County, Indiana",77983,71923,69391,557,210,805,0,10,950,2,948,6060,3062,93,20,20,0,2536,329,287,42,"Kosciusko County, Indiana",0,0,13,138,68,127,27,13,215,4,215,0,421,120,21,28,27,427,176,170,33
"G1800870","2011-2015",,,"Indiana","18","LaGrange County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LaGrange County, Indiana",38084,36623,36030,19,23,98,9,0,444,0,444,1461,1237,0,0,0,0,31,193,168,25,"LaGrange County, Indiana",0,0,24,16,22,58,12,24,63,24,63,0,169,24,24,24,24,32,165,161,30
"G1800890","2011-2015",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, Indiana",491596,404511,269262,119856,917,6526,150,595,7205,307,6898,87085,34209,2321,651,135,34,43497,6238,4134,2104,"Lake County, Indiana",0,0,186,714,192,309,18,255,766,146,736,0,1927,568,308,90,27,2201,982,787,535
"G1800910","2011-2015",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LaPorte County, Indiana",111280,104645,89437,12030,246,556,10,64,2302,55,2247,6635,4051,71,20,0,0,1864,629,491,138,"LaPorte County, Indiana",0,0,61,341,82,114,13,45,387,65,378,0,472,43,31,27,27,380,250,242,104
"G1800930","2011-2015",,,"Indiana","18","Lawrence County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Indiana",45814,45134,44023,171,60,265,0,0,615,0,615,680,282,0,10,0,0,252,136,136,0,"Lawrence County, Indiana",0,0,24,69,65,74,24,24,123,24,123,0,121,24,16,24,24,132,95,95,24
"G1800950","2011-2015",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Indiana",130280,125606,111718,10091,72,573,110,88,2954,105,2849,4674,3013,121,36,0,0,1352,152,104,48,"Madison County, Indiana",0,0,53,377,33,180,126,67,423,50,420,0,386,81,25,27,27,391,77,72,38
"G1800970","2011-2015",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Indiana",926335,836505,538138,248584,1863,22312,153,2773,22682,641,22041,89830,46348,2047,656,122,149,37381,3127,1713,1414,"Marion County, Indiana",0,0,568,1671,397,709,101,761,1833,206,1820,0,2172,506,275,75,215,2241,597,399,463
"G1800990","2011-2015",,,"Indiana","18","Marshall County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Indiana",46962,42665,41585,267,58,293,29,0,433,0,433,4297,2246,10,90,0,0,1839,112,52,60,"Marshall County, Indiana",0,0,24,82,32,46,38,24,114,24,114,0,566,17,97,24,24,546,105,71,60
"G1801010","2011-2015",,,"Indiana","18","Martin County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin County, Indiana",10262,10238,9993,30,45,65,8,8,89,0,89,24,24,0,0,0,0,0,0,0,0,"Martin County, Indiana",0,26,13,30,39,79,18,13,57,18,57,26,26,18,18,18,18,18,18,18,18
"G1801030","2011-2015",,,"Indiana","18","Miami County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami County, Indiana",36211,35249,32517,1824,379,119,21,0,389,0,389,962,575,38,0,0,0,227,122,94,28,"Miami County, Indiana",0,0,24,93,70,77,23,24,160,24,160,0,141,20,24,24,24,110,102,82,50
"G1801050","2011-2015",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Indiana",142404,137781,120736,4070,287,8676,53,109,3850,64,3786,4623,2937,100,247,55,0,983,301,214,87,"Monroe County, Indiana",0,0,111,341,120,296,43,91,454,58,458,0,381,88,297,50,27,304,151,139,60
"G1801070","2011-2015",,,"Indiana","18","Montgomery County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Indiana",38172,36439,35318,326,102,205,4,0,484,9,475,1733,1406,0,2,0,0,283,42,30,12,"Montgomery County, Indiana",0,0,12,99,32,76,8,24,126,12,128,0,290,24,3,24,24,288,53,48,19
"G1801090","2011-2015",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Indiana",69403,68444,66950,256,38,429,0,6,765,14,751,959,660,16,4,0,0,195,84,84,0,"Morgan County, Indiana",0,0,10,53,33,25,27,10,71,20,67,0,150,24,8,27,27,118,84,84,27
"G1801110","2011-2015",,,"Indiana","18","Newton County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton County, Indiana",14057,13263,12981,39,22,61,16,7,137,0,137,794,658,0,5,0,0,102,29,24,5,"Newton County, Indiana",0,0,11,32,24,44,29,11,44,18,44,0,112,18,8,18,18,90,36,35,7
"G1801130","2011-2015",,,"Indiana","18","Noble County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noble County, Indiana",47546,42813,41802,228,36,280,5,0,462,0,462,4733,4069,0,19,7,0,442,196,126,70,"Noble County, Indiana",0,0,24,75,34,34,12,24,84,24,84,0,270,24,25,13,24,236,137,112,79
"G1801150","2011-2015",,,"Indiana","18","Ohio County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio County, Indiana",6033,6033,5967,58,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ohio County, Indiana",0,16,71,71,16,16,16,12,16,16,16,16,16,16,16,16,16,16,16,16,16
"G1801170","2011-2015",,,"Indiana","18","Orange County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange County, Indiana",19725,19474,18904,277,19,60,0,0,214,0,214,251,133,0,0,3,0,108,7,7,0,"Orange County, Indiana",0,0,18,52,19,58,18,18,47,18,47,0,102,18,18,8,18,98,12,12,18
"G1801190","2011-2015",,,"Indiana","18","Owen County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Owen County, Indiana",21192,21046,20475,129,58,39,0,32,313,0,313,146,139,0,0,0,0,7,0,0,0,"Owen County, Indiana",0,114,21,89,47,52,21,49,133,21,133,114,114,21,21,21,21,14,21,21,21
"G1801210","2011-2015",,,"Indiana","18","Parke County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parke County, Indiana",17107,16881,16260,348,31,14,46,0,182,0,182,226,194,9,0,0,0,23,0,0,0,"Parke County, Indiana",0,0,18,86,27,16,55,18,82,18,82,0,24,16,18,18,18,22,18,18,18
"G1801230","2011-2015",,,"Indiana","18","Perry County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Indiana",19414,19173,18336,592,15,51,0,0,179,0,179,241,75,0,0,0,0,50,116,22,94,"Perry County, Indiana",0,0,18,105,27,35,18,18,108,18,108,0,44,18,18,18,18,53,55,31,55
"G1801250","2011-2015",,,"Indiana","18","Pike County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Indiana",12687,12658,12579,24,0,10,0,0,45,17,28,29,29,0,0,0,0,0,0,0,0,"Pike County, Indiana",0,27,55,15,18,15,18,18,31,20,23,27,27,18,18,18,18,18,18,18,18
