"division","1: large central metro","2: large fringe metro","3: medium metro","4: small metro","5: micropolitan","6: noncore"
"East North Central",0.884085565697253,0.350264286125054,0.639947724211703,0.505457697017095,0.414407463253611,0.527939229712356
"East South Central",1.02747295010836,0.637797484449647,0.954403044962127,1.43266991121699,1.14068108725428,1.07316876739033
"Middle Atlantic",0.504881364718169,0.273726804696329,0.577737390612748,0.433166919305833,0.255124161800051,0.344719131459546
"Mountain",1.45908283075185,1.10592242905893,1.47693242619321,1.76386545660524,1.11125876899838,1.28621450829441
"New England",0.50639335354176,0.31452260513148,0.362505653356686,0.664399704071751,0.572757583030036,0.891629304868729
"Pacific",1.07574818259227,0.962993677687815,1.34976002625738,1.59817682480848,1.09718340117882,1.13228800938609
"South Atlantic",1.05836702346982,0.728776575538232,0.925029152641814,0.65092993437624,0.975350257674741,0.86006227464862
"West North Central",1.64521196256023,0.603337798800992,0.87680154559484,0.703759114779379,0.609998622795803,0.586318191186352
"West South Central",1.25394974943326,0.928974443951125,1.33597375940742,1.06418516407921,1.2379427306371,1.18693052837686
