"ur.code","tot.deaths","death.rt"
"1: large central metro",2236,1.01708136666932
"2: large fringe metro",1048,0.5936846841697
"3: medium metro",1477,0.985009571401068
"4: small metro",627,0.92884091164977
"5: micropolitan",518,0.812979100060056
"6: noncore",389,0.86110928529581
