"division","1: large central metro","2: large fringe metro","3: medium metro","4: small metro","5: micropolitan","6: noncore"
"East North Central",252,98,110,62,56,37
"East South Central",68,37,99,78,82,73
"Middle Atlantic",170,94,83,24,13,7
"Mountain",257,63,191,120,67,41
"New England",27,38,38,13,15,14
"Pacific",680,177,320,111,53,20
"South Atlantic",303,348,316,90,90,70
"West North Central",102,64,71,54,45,46
"West South Central",377,129,249,75,97,81
