"","division","ur.code","black.men","white.men","latino.men","tot.men","d.asian","d.black","d.latino","d.other","d.white","d.na","d.total","rate.black","rate.latino","rate.white","rate.tot"
"38","South Atlantic","2: large fringe metro",1630023,4664022,981447,7801795,4,147,18,1,167,11,348,1.47344285788486,0.299650736132534,0.585013080224491,0.728776575538232
"39","South Atlantic","3: medium metro",925380,4013629,458661,5581377,1,121,14,1,176,3,316,2.13636255370365,0.498707520896084,0.716448763567167,0.925029152641815
"40","South Atlantic","4: small metro",379082,1661097,149712,2259009,0,32,4,0,52,2,90,1.37919765714749,0.436528974186092,0.511467503212351,0.65092993437624
"41","South Atlantic","5: micropolitan",298303,1058421,100629,1507619,0,24,6,1,56,3,90,1.3145082506716,0.974176814586475,0.864448797753328,0.975350257674741
"42","South Atlantic","6: noncore",288985,953936,64454,1329774,0,12,2,0,55,1,70,0.678446553800525,0.506978820425018,0.942004866700741,0.86006227464862
"43","West North Central","1: large central metro",167263,699595,62773,1012950,5,55,4,1,35,2,102,5.37245149567471,1.04111044212238,0.817393242667968,1.64521196256023
"44","West North Central","2: large fringe metro",132950,1444982,74273,1733122,2,17,5,1,36,3,64,2.08915313711343,1.09988868403303,0.407051874729328,0.603337798800992
"45","West North Central","3: medium metro",68575,1114390,81387,1323021,0,16,5,2,48,0,71,3.81209629068018,1.00374792324555,0.703742414594692,0.876801545594841
"46","West North Central","4: small metro",50176,1086417,55091,1253659,0,8,2,5,37,2,54,2.60497551751229,0.593142489547732,0.556435547764782,0.703759114779379
"47","West North Central","5: micropolitan",36701,1047215,78572,1205295,0,7,1,0,36,1,45,3.11623239478105,0.20794184246089,0.561663681335862,0.609998622795803
"48","West North Central","6: noncore",17794,1173698,40669,1281841,0,1,1,9,34,1,46,0.918197507352875,0.401741042214883,0.473295361463051,0.586318191186352
"49","West South Central","1: large central metro",762787,2097932,1678439,4912142,6,141,102,4,122,2,377,3.02012922200172,0.992897244091314,0.950119253813814,1.25394974943326
"50","West South Central","2: large fringe metro",234627,1454896,425309,2268797,0,32,26,1,67,3,129,2.22834118096718,0.998799855144762,0.752406516940787,0.928974443951125
"51","West South Central","3: medium metro",389854,1567821,950330,3045167,4,79,57,3,105,1,249,3.31081407198882,0.979963978210424,1.09421463088764,1.33597375940742
"52","West South Central","4: small metro",180537,758782,172939,1151473,1,20,15,2,36,1,75,1.8099787241216,1.41712451608692,0.775166822684426,1.06418516407921
"53","West South Central","5: micropolitan",148318,816883,248082,1280209,2,14,13,6,58,4,97,1.54221126391752,0.856165637957941,1.16005299884873,1.2379427306371
"54","West South Central","6: noncore",120547,775081,166233,1114986,1,13,11,4,52,0,81,1.76196241960299,1.08114797244956,1.09613980368959,1.18693052837686
