"","Race","Deaths","Adult.men","Annual.Rate"
"1","Black",1779,13739182,2.11555717561236
"2","Latino",1145,18389635,1.01728366987618
"3","White",2993,77420531,0.631626389805959
"4","Total",6295,118079504,0.871025581006373
