"division","tot.deaths","death.rt"
"East North Central",615,0.577684099923081
"East South Central",437,1.0348651786151
"Middle Atlantic",391,0.41138295285554
"Mountain",739,1.41401026614031
"New England",145,0.425945135520215
"Pacific",1361,1.14521589658426
"South Atlantic",1217,0.858649932931307
"West North Central",382,0.799149906158675
"West South Central",1008,1.19577317520811
